Солянка, Автобус М7, Яузские Ворота, Автобус М7, 2
Солянка, Автобус М7, Метро Китай-Город, Автобус М7, 2
Метро Китай-Город, Автобус М7, Солянка, Автобус М7, 2
Метро Китай-Город, Автобус М7, Китай-город 6, 6, 5
Метро Китай-Город, Автобус М7, Метро Лубянка, Автобус М7, 2
Метро Лубянка, Автобус М7, Метро Китай-Город, Автобус М7, 2
Метро Лубянка, Автобус М7, Лубянка, 1, 5
Метро Лубянка, Автобус М7, Театральная площадь, Автобус М7, 2
Театральная площадь, Автобус М7, Метро Лубянка, Автобус М7, 2
Театральная площадь, Автобус М7, Театральная, 2, 5
Театральная площадь, Автобус М7, Манежная площадь, Автобус М7, 2
Манежная площадь, Автобус М7, Театральная площадь, Автобус М7, 2
Манежная площадь, Автобус М7, Метро Библиотека имени Ленина, Автобус М7, 2
Метро Библиотека имени Ленина, Автобус М7, Манежная площадь, Автобус М7, 2
Метро Библиотека имени Ленина, Автобус М7, Библиотека имени Ленина, 1, 4
Метро Библиотека имени Ленина, Автобус М7, Арбатские Ворота, Автобус М7, 2
Арбатские Ворота, Автобус М7, Метро Библиотека имени Ленина, Автобус М7, 2
Арбатские Ворота, Автобус М7, Арбатская, 3, 6
Арбатские Ворота, Автобус М7, Дом Книги, Автобус М7, 2
Дом Книги, Автобус М7, Арбатские Ворота, Автобус М7, 2
Дом Книги, Автобус М7, Кинотеатр Октябрь, Автобус М7, 2
Кинотеатр Октябрь, Автобус М7, Дом Книги, Автобус М7, 2
Кинотеатр Октябрь, Автобус М7, Новинский бульвар, Автобус М7, 2
Новинский бульвар, Автобус М7, Кинотеатр Октябрь, Автобус М7, 2
Новинский бульвар, Автобус М7, Метро Смоленская, Автобус Б, 6
Метро Проспект Мира (радиальная), Автобус М9, Проспект Мира 6, 6, 7
Метро Проспект Мира (радиальная), Автобус М9, Метро Проспект Мира, Автобус М9, 2
Метро Проспект Мира, Автобус М9, Метро Проспект Мира (радиальная), Автобус М9, 2
Метро Проспект Мира, Автобус М9, Проспект Мира 5, 5, 5
Метро Проспект Мира, Автобус М9, Аптекарский огород, Автобус М9, 2
Аптекарский огород, Автобус М9, Метро Проспект Мира, Автобус М9, 2
Аптекарский огород, Автобус М9, Мещанская улица, Автобус М9, 2
Мещанская улица, Автобус М9, Аптекарский огород, Автобус М9, 2
Мещанская улица, Автобус М9, Метро Сухаревская, Автобус М9, 2
Метро Сухаревская, Автобус М9, Мещанская улица, Автобус М9, 2
Метро Сухаревская, Автобус М9, Сухаревская, 6, 4
Метро Сухаревская, Автобус М9, Сретенка, Автобус М9, 2
Сретенка, Автобус М9, Метро Сухаревская, Автобус М9, 2
Сретенка, Автобус М9, Сретенские Ворота, Автобус М9, 2
Сретенские Ворота, Автобус М9, Сретенка, Автобус М9, 2
Сретенские Ворота, Автобус М9, Метро Лубянка, Автобус М9, 2
Метро Лубянка, Автобус М9, Сретенские Ворота, Автобус М9, 2
Метро Лубянка, Автобус М9, Лубянка, 1, 5
Метро Лубянка, Автобус М9, Театральная площадь, Автобус М9, 2
Театральная площадь, Автобус М9, Метро Лубянка, Автобус М9, 2
Театральная площадь, Автобус М9, Театральная, 2, 5
Театральная площадь, Автобус М9, Манежная площадь, Автобус М9, 2
Манежная площадь, Автобус М9, Театральная площадь, Автобус М9, 2
Манежная площадь, Автобус М9, Метро Библиотека имени Ленина, Автобус М9, 2
Метро Библиотека имени Ленина, Автобус М9, Манежная площадь, Автобус М9, 2
Метро Библиотека имени Ленина, Автобус М9, Библиотека имени Ленина, 1, 4
Метро Библиотека имени Ленина, Автобус М9, Болотная площадь, Автобус М9, 2
Болотная площадь, Автобус М9, Метро Библиотека имени Ленина, Автобус М9, 2
Болотная площадь, Автобус М9, Большая Якиманка, Автобус М9, 2
Большая Якиманка, Автобус М9, Болотная площадь, Автобус М9, 2
Большая Якиманка, Автобус М9, Метро Полянка, Автобус М9, 2
Метро Полянка, Автобус М9, Большая Якиманка, Автобус М9, 2
Метро Полянка, Автобус М9, Полянка, 9, 4
Метро Полянка, Автобус М9, 1-й Казачий переулок, Автобус М9, 2
1-й Казачий переулок, Автобус М9, Метро Полянка, Автобус М9, 2
1-й Казачий переулок, Автобус М9, 1-й Спасоналивковский переулок, Автобус М9, 2
1-й Спасоналивковский переулок, Автобус М9, 1-й Казачий переулок, Автобус М9, 2
